,control_1mMPi_R1,control_1mMPi_R2,control_1mMPi_R3,T01mMPhi_R1,T01mMPhi_R2,T01mMPhi_R3,T05mMPhi_R1,T05mMPhi_R2,T05mMPhi_R3
Tatro_000328-T1,170,166.33,97.5,2306.83,261,254.25,1422.67,1288,628.83
Tatro_000329-T1,734.83,570.33,610,5966.42,383,471,898,811.33,389
Tatro_000330-T1,8.5,5,6.33,56,5,5.5,12,8.5,3
Tatro_000331-T1,1274.5,1457.83,1240,9809.58,937.83,1137.83,1202.83,1220.5,593
Tatro_000332-T1,96.5,95.33,57.5,2195.83,290.33,318,198.5,189.5,103
Tatro_012398-T1,1539.37,1437.92,1372.83,34639.23,3636.12,3837.5,3928.32,3441.95,1735.58
Tatro_000333-T1,1474.37,1404.92,1329.33,33880.98,3586.12,3801.25,3764.48,3276.12,1674.08
Tatro_000334-T1,464.83,506.08,290,8405.17,884,899.33,2416.75,2184.67,928.5
Tatro_000335-T1,1801.17,942.5,424,35080.9,3694.5,4260,2600.58,2300.83,1050.83
Tatro_000336-T1,378.5,389.5,558,4372.67,357,402.83,791,781,373.5
Tatro_000337-T1,125,104.5,77,1917.67,306,306,1194,1136.67,629.5
Tatro_000338-T1,415.5,271.5,152,21918.5,1496.75,1703,2171,1851,713.5
Tatro_000339-T1,1,0,1,31.5,0,1,6,7,2
Tatro_000340-T1,39.5,30,30,320.5,28.5,43,74.5,56.5,28
Tatro_000341-T1,41,22.5,37,90,11.5,19,32.5,28,14
Tatro_000342-T1,69,67.5,59,472.42,42,55,77,96.5,49.5
Tatro_000343-T1,47709.08,40716.53,44845.92,954812.61,81807.62,86374.58,203005.92,180210.2,102488.83
Tatro_000344-T1,92.5,60,77,1889.25,192.5,188,258.75,246.5,87
Tatro_000345-T1,244,241.83,319.33,2971.03,285.83,294.5,537.17,482.33,229.5
Tatro_000346-T1,799.33,724.17,801,8562.5,942.92,946.17,1769.67,1570.67,759.5
Tatro_000347-T1,62.5,48,43.58,275.83,48.83,38.5,100,90,39.5
Tatro_000348-T1,337.67,294,290.33,3196.83,309,316,845,723,333.5
Tatro_000349-T1,1755.67,1390.67,1742.83,9332.75,730,823,1978.33,1932.67,819.5
Tatro_000350-T1,1074.5,969,915.5,6232.92,551,626,1733.5,1587.25,870
Tatro_000351-T1,7.5,7.5,6.5,79.5,4.5,6,22.5,18,14
Tatro_000352-T1,1313.83,1729.25,2083.08,18099.25,3084.33,2867.5,6726.83,5992.25,3929.67
Tatro_000353-T1,100,91,90,521.5,64,69,100.5,106,58
Tatro_000354-T1,5256.92,4090.33,4681.83,44818.45,3816.25,3977.08,9844.75,9058.5,4492.08
Tatro_000355-T1,70,63,66,1342.5,170.5,169.5,281,273,121
Tatro_000356-T1,35,12,24,204.33,15.5,28,65.5,73,22.5
Tatro_000357-T1,392,290,342,3624.28,285.83,338.5,577.5,489,246.33
Tatro_000358-T1,8.5,12,15.5,125.37,10.83,17,17.5,15,10.83
Tatro_000359-T1,831,640.33,373,25955.12,2184.92,2623.33,3749.92,3265.83,1372.5
Tatro_000360-T1,222.5,148.5,141.5,9288.53,721.83,824.5,1063,955,411.33
Tatro_000361-T1,38,41.5,42.5,425.2,38.5,37,60.5,55,31.5
Tatro_000362-T1,293.33,310.5,291,1942,212.83,241.5,441,382.5,160.5
Tatro_000363-T1,591,561,667.5,3614.08,341.5,363.33,1034.5,882.5,462.5
Tatro_000364-T1,2358.33,1997.2,2570.33,23648.92,2062.67,2138.5,4953.08,4489.83,1983.33
Tatro_000365-T1,432.33,404.5,479,4016.92,390.5,383.5,639.5,580.83,315
Tatro_000366-T1,722,854,1035.83,5938.58,710.5,784.08,394.83,365.5,183.5
Tatro_000367-T1,57.5,57.33,60.5,453.5,51,56.33,171,165,66.5
Tatro_000368-T1,109.5,128,122.5,777,103,116.5,199,220.5,119.5
Tatro_000369-T1,70.5,63.5,68.5,275.25,28,44.5,26.5,40.5,8
Tatro_000370-T1,140,167.5,198,1194.67,151.5,160,262.33,279.5,148.5
Tatro_000371-T1,138.5,148.33,177.5,1133.33,156.5,161,284.33,271.5,136.5
Tatro_000372-T1,10,2,12,173.83,15,14.5,47,30.5,21
Tatro_000373-T1,22,36.5,31,361.33,38,39.5,79,96.5,51.25
Tatro_000375-T1,1071.2,1348.58,1923.78,61525.75,5772.92,6192.83,22037.67,21782.03,10158.17
Tatro_000376-T1,1029.33,1144.58,1649.33,50870.25,5564.79,5680.67,25193.58,23823.5,14335.92
Tatro_000377-T1,494.5,403.75,380.83,3727,341.33,360,616.5,545,317
Tatro_000378-T1,1552.08,1918.83,1305.33,11890.7,1736.83,1837,2413.67,2217.17,1317.75
Tatro_000380-T1,418.5,487.33,327,3002.83,385.5,434.5,663.5,498,310.5
Tatro_000381-T1,848,759.83,843.33,5774.87,545.67,569,1719.5,1500.58,814.08
Tatro_000382-T1,361.67,308,383.08,2770.42,291,292.67,628.33,543.92,284.33
Tatro_000383-T1,1080.17,1237.5,1389.33,8207.2,994.21,1045.67,1907.53,1806.42,903.83
Tatro_000384-T1,163,156,211,2711.25,236,267,1395,1379,735.5
Tatro_000385-T1,227.33,190,241,1381.5,168,178.5,343.5,315.5,139.33
Tatro_000386-T1,0,3,2,18.5,0.5,4,3,2,0
Tatro_000387-T1,6,5,4,26,2,5,6,6,6
Tatro_000388-T1,1479.33,821.33,1161.5,7663.83,562.5,630.5,543.5,436.33,205
Tatro_000389-T1,46,38.5,44.5,446.5,43,34.5,218,206,110
Tatro_000390-T1,52.25,52,38,40,4,3,4.5,4,4
Tatro_000392-T1,11,10.5,19.5,203,15,25,52.5,60.5,25
Tatro_000393-T1,2,2,0,4,1,1,0,0.5,1
Tatro_000394-T1,0,1,1,4,0,0,0,0,1
Tatro_000395-T1,65.5,65.5,74,776.33,85.5,81,138,144,75
Tatro_000396-T1,28,17.5,36,88,11,16,9,12,5
Tatro_000398-T1,488.5,599.92,643.25,3370.45,471.75,490.5,854,718.33,398.67
Tatro_000397-T1,411.17,530.92,534.25,2559.7,394.75,414,847,709.83,392.67
Tatro_000399-T1,373.33,359.83,258,5171.42,487,582,857.83,745.5,320.5
Tatro_000400-T1,1,1.5,1.5,0.5,0,0,0,0,0.5
Tatro_000401-T1,397.5,343.5,494,4186.42,424,433,801.17,758,338.83
Tatro_000402-T1,1082.5,915.2,908.67,14409.7,1690.17,1899.33,1576.83,1446.75,804
Tatro_000403-T1,1281,1110.25,1727.08,6406.79,719,739.5,772.5,650,355
Tatro_000404-T1,19,9,17.5,182,6.5,18,20.5,26.5,9.5
Tatro_000405-T1,628.5,378.5,332,3269.17,315,343.5,1203,982.08,511.83
Tatro_000406-T1,0,0,0,26.5,3,3,4,7,1
Tatro_000407-T1,3.5,5,3,356.33,27,28,156.5,189.5,81
Tatro_000408-T1,9447.33,9121.83,10044.08,60576.45,8637.37,8852.5,15021.42,12615.25,7189.5
Tatro_000409-T1,47.5,53.5,44,1013.29,108.5,129,166.5,168.5,72.5
Tatro_000410-T1,10519.17,10619.75,9971.25,64469.65,6072.83,6173.75,644.5,543.08,244
Tatro_000411-T1,2480.5,2642.83,2056.83,19725.92,1925.5,1964.87,710.83,642.83,264.5
Tatro_000412-T1,696.33,563.58,755,10681.33,691.67,702,1601,1556.67,689.5
Tatro_000413-T1,31.83,25,24,5076.33,557.67,611.83,2654.5,2428.7,1370.75
Tatro_000414-T1,798.58,783.5,747.5,7552.5,773,841,1771,1511.83,710.5
Tatro_000416-T1,0,1,2,8.5,2,0,1.5,3,5
Tatro_000417-T1,0,0,0,9,0,0,5,6,0
Tatro_000418-T1,0,1,0,4.5,1,1,3,0,1
Tatro_000419-T1,449.83,368.5,402.83,3406.33,319.58,355.5,600.5,548.5,277.5
Tatro_000420-T1,2303.5,1995,2553.83,21624.2,1857.25,1996.33,4047.83,3425,1531.5
Tatro_000421-T1,3952.25,3695.67,3795.08,31546.08,3537.25,4185.08,8078.5,7323.5,3986.5
Tatro_000422-T1,456,495.5,396,4609.17,495.5,525.5,139,138,66
Tatro_000423-T1,7741.92,8063.08,8880.75,66962.53,7711.12,8410.83,3462.33,3247.58,1673.5
Tatro_000424-T1,82.5,63,67,836.58,55.5,71,150.5,151.5,60
Tatro_000425-T1,5,4,5,109.5,12,18,9,11,5
Tatro_000426-T1,18.5,20,19.5,113.5,19,16,23,16,8
Tatro_000427-T1,846.83,720.33,1069.83,7952.17,686,673.5,1665.5,1647.5,721.5
Tatro_000428-T1,737.33,765.33,752.33,4137.25,455,504.33,952.42,793.25,408.5
Tatro_000429-T1,686,674.33,415.33,5318.58,605,615.5,1042,911,427.5
Tatro_000430-T1,4551.67,5036.83,4746.92,72046.1,7682.33,8604.53,6723.08,5917.58,2717.58
Tatro_000432-T1,1009,1121.5,1098.67,6440.33,691.75,804,673.92,547.17,285.33
Tatro_000431-T1,173.17,207.33,192.5,1364.33,157.92,187.67,116.67,107.67,54.33
Tatro_000433-T1,33.5,11.5,9,183.5,17,9,49,60.5,20
Tatro_000434-T1,0,0,0,7,0,0,0,3,0
Tatro_000435-T1,235,235.5,162,7215.42,689.33,723.5,739,707,294.5
Tatro_000436-T1,86.5,62,64.5,1661.83,149,179.5,224,200,105
Tatro_000437-T1,94,95.5,105,749.83,70.5,87,124.5,93,44
Tatro_000438-T1,532,539.83,523.5,3356,379,405.83,758,637,375.5
Tatro_000439-T1,2462.67,3285.25,3889.83,13176.17,2471.9,2552.33,3753.67,3191.17,1983.67
Tatro_000440-T1,11471.12,12432.58,13912.28,79308.12,10600.92,11348.67,26121.58,22820.92,12660.25
Tatro_000441-T1,1199.67,1469.58,850.33,12747.92,1304.17,1414.83,2285.5,2084,1109.83
Tatro_000442-T1,93.83,102,91.67,2238.42,167.83,196.5,277.5,293,124.83
Tatro_000444-T1,968.5,725.58,901,9203.5,648.5,640.33,1665.33,1539.83,744.5
Tatro_000445-T1,861.83,573.25,421.5,1549.9,147,164.5,357,342.33,148
Tatro_000446-T1,1887.83,1652.37,1414.67,9143.08,1177.33,1339.33,1997.5,1707,874.5
Tatro_000447-T1,181.5,132.33,101,748.5,71.5,88.5,177.83,127,88.5
Tatro_000448-T1,1247.67,1276,1222.58,5392,804.83,832,2237.75,1863.5,1036.5
Tatro_000449-T1,2454.5,2163.08,2698.83,11105.23,1146.5,1296,1460.83,1211.5,687.25
Tatro_000450-T1,825.33,667,830.33,7063.58,794.5,799.08,1586.5,1354.5,755.08
Tatro_000451-T1,526.5,514,690.5,4809.58,430.67,467.83,1719.5,1602.42,846.5
Tatro_000452-T1,4360.33,3189.5,4217.67,34970.77,2790.33,2893.25,5438,4692.5,2265.83
Tatro_000453-T1,1.5,2,0,8,0,2,5,2,0
Tatro_000454-T1,45.33,55.5,86,369,48.5,60,52.5,65.5,30
Tatro_000455-T1,116.5,72,103,863.33,98.33,122,161,185,90
Tatro_000456-T1,275,344.83,321,2941.5,316,340.5,930.5,809,441.08
Tatro_000457-T1,44581.33,38088.25,61896.28,534716.58,52020.95,57473.83,81589.23,72150.67,41540.37
Tatro_000458-T1,516,506,498,2848.58,352.5,378.5,598.5,517.5,242.5
Tatro_000459-T1,617.5,634,647.5,8720.21,791.83,910,1415.08,1322.83,706
Tatro_000460-T1,1462.33,1524.17,1541.83,10192.58,1141.33,1244.5,1863.08,1733.75,840.58
Tatro_000461-T1,478.5,440.83,450,5640.75,442.83,460.5,787,771.33,324.33
Tatro_000462-T1,448.5,364,392.33,3824.25,298,355.5,637,518.5,290.83
Tatro_000463-T1,2495.25,2562.33,3124,10924.75,2135.83,2305.67,3474.08,3005.67,1922.5
Tatro_000464-T1,334,369,432,2842.67,288.5,308.5,610,537.5,250.5
Tatro_000465-T1,2821.5,2514.33,1819,33359.37,2607.92,2850.2,4198.25,3719.42,1907.08
Tatro_000466-T1,220.83,251.5,350,1496.58,215,218,258,286,161.5
Tatro_000467-T1,11.83,9.5,4.83,35.17,2,5,16.5,15,6.5
Tatro_000467-T2,11.83,9.5,4.83,35.17,2,5,16.5,15,6.5
Tatro_000468-T1,3714.08,3127,3640.42,15489.33,1588.83,1694,6614.42,5430,3054
Tatro_000469-T1,1084.25,1124.83,1236.83,10642,1102.58,1298.75,2440.17,2278.33,1106.5
Tatro_000470-T1,289.33,323,364.83,1740.75,283.25,321.75,571,513,313
Tatro_000471-T1,36.5,26.5,32.5,1718.83,133.5,151.33,362,324.67,142
Tatro_000472-T1,12.5,10,7.5,388.17,39.5,33.83,73,73,44.5
Tatro_000473-T1,205.33,196,218.5,705.67,115.5,109,435,444.5,210
Tatro_000474-T1,637,541,854.33,4835.25,402,499.5,1101.67,988.5,500.5
Tatro_000475-T1,3,4,4,4,3,0,5,2,0
Tatro_000476-T1,630,789.33,323.5,13586.12,1409.33,1388.5,1564.83,1452,692.5
Tatro_000477-T1,210.5,237,190,2475,239.5,248.5,496.5,485,234
Tatro_000478-T1,1150.5,981.67,964,10858.37,1016,1023.33,2034.25,1744.5,998.5
Tatro_000479-T1,731.33,555.33,899.75,10390.03,879.33,915.83,2665,2500,1242
Tatro_000480-T1,4,7,5,167.5,20,21,40,27,11
Tatro_000481-T1,3739.42,3995.42,4466.5,20932.95,2719.75,2903.33,4977.67,4549.75,2401
Tatro_000482-T1,1250.33,1219.33,1421,10036.83,1133,1245.5,1006.83,928.25,506
Tatro_000483-T1,298.5,361.5,402.7,3119.75,321.5,369.5,927.5,978.17,413.5
Tatro_000484-T1,1709.25,1684,2191.5,16301.62,1911.62,2005,4134.5,3505,1970.17
Tatro_000485-T1,7263.5,5046,8102.75,39711.82,3443.08,4011.33,6083.33,5656.83,2550
Tatro_000486-T1,3125.33,3288.17,3672.75,15288.46,1963.33,2021.5,3614.03,3131.83,1589.5
Tatro_000487-T1,283,354.5,414.83,2757.5,296.33,284,424.17,425.67,238.83
Tatro_000488-T1,677.17,562,862.08,5415.67,508.17,543.5,1379,1301.75,718.83
Tatro_000489-T1,3201.5,2723.58,3126.67,23223.58,2060.5,2224,3027.5,2488.08,1257.83
Tatro_000490-T1,384,355,392.33,2393.5,276,295,585.5,511,280
Tatro_000491-T1,209.5,217,203.5,1413,139.5,154.5,307,298.5,164.5
Tatro_000492-T1,825.83,881.33,1014.5,7000.75,771.58,838.5,1508.29,1627,724
Tatro_000493-T1,321,339.5,390,3415.42,340.33,420.5,868.58,787.58,424.5
Tatro_000494-T1,215.33,342.5,463,1281.75,298.83,339.5,577.33,490.5,349.5
Tatro_000495-T1,75,56.5,74,673.83,46,48,108,113,47.5
Tatro_000496-T1,3038.92,2966.57,3302.17,22059.41,2390.25,2786.83,5277.92,4965.45,2560
Tatro_000497-T1,3781.58,3866.53,4384.08,25346.5,2844.17,3187.83,6150.58,5971.78,3259.67
Tatro_000498-T1,1723.5,1728.83,2004,11288.45,1328.33,1382.58,2414.83,2146,1090.5
Tatro_000499-T1,234,255.5,236.5,4555,362.5,450,1070.5,1112.5,472
Tatro_000500-T1,230.83,165,342.5,2227.08,181.5,189,286.5,224,121
Tatro_000501-T1,0,2,1.33,7,0,2,0,1,0
Tatro_000502-T1,0,0,0,1,0,0,1,1,0
Tatro_000503-T1,191,203,179.33,1794.17,186,193.5,648,632.7,320.5
Tatro_000504-T1,1,1,2,5,1,4,4,2,5
Tatro_000505-T1,61.5,64,45,781,63.83,52,42.5,81.5,23
Tatro_000506-T1,1284.67,1207,1558.5,7920.75,969.83,1017.33,1984.83,1796.33,936
Tatro_000507-T1,185,149,221,1252.08,131,146,292,291,152.5
Tatro_000508-T1,28,27,32.5,335.5,39.83,36,48,36,17
Tatro_000509-T1,10,5.83,5,46,4,2,7,7.5,11
Tatro_000510-T1,40.5,36.33,34.5,181,22,18,123.5,124,56.5
Tatro_000511-T1,14,14,10,29,4,3,11,9,4
Tatro_000512-T1,1369.67,967.75,1338.83,6601,497.25,591,1349.5,1218,519.5
Tatro_000513-T1,1066.83,1092,1432.67,7689.58,977,966.08,2278.42,2119,1196
Tatro_000514-T1,532.83,584.33,739.5,3708.92,429,441.5,1097.5,1020,562
Tatro_000515-T1,291,258,304,1721.28,154.5,205.33,351.5,360.5,152.5
Tatro_000517-T1,3000.58,2329.17,2823,23383.83,1943.15,1972.25,3744.92,3407.7,1648.67
Tatro_000516-T1,1333.08,1023.67,1262.83,8900.66,783.57,771.25,1482.92,1344.87,716.83
Tatro_000518-T1,429.42,396.67,506.37,4273.83,411.5,439.5,806.67,815.58,347.83
Tatro_000519-T1,144.33,132.67,209.17,1212.5,161.5,142,268.33,251.25,126.33
Tatro_000520-T1,263,268,251,2523.17,236,264,658.75,638,319.5
Tatro_000521-T1,145.5,151.5,128.5,2210,195,207,410,393.25,193.5
Tatro_000522-T1,880.58,805,746.33,12001.42,912,1052.33,2078,1789.17,847.33
Tatro_000523-T1,5,3,1,22,2,4,8,3,4
Tatro_000524-T1,845,864.17,1041.67,7012.67,696.83,754.87,1433.08,1307.67,599.5
Tatro_000525-T1,2760.67,2073.92,2857.92,22393.63,1876.17,2029.67,4139.33,3909.75,1766.83
Tatro_000526-T1,1878,1601,1985.67,13793.5,1289,1405.5,2760,2320,1194.83
Tatro_000527-T1,35,30.5,38.5,134,23,20,40.5,23.5,17.5
Tatro_000528-T1,1620.75,1469.5,1793.33,10701.42,1140.33,1141,2221.75,1858,1018.33
Tatro_000529-T1,114,118.83,164.83,899.33,121.5,145.5,229,246,121.5
Tatro_000530-T1,4446.75,4251.79,5588.58,28051.67,2894.58,3190,5071.25,4818.33,2807.33
Tatro_000531-T1,63.67,110,156,435.83,85,95,118.83,134.83,65
Tatro_000532-T1,508,445,432.5,3390.33,345.33,397,1173,1154,556
Tatro_000533-T1,323,329,348.5,1007.5,187,177,361.5,328.33,199
Tatro_000534-T1,1045.75,1036.67,871,11058.25,979.5,1017,1785,1566.33,661
Tatro_000535-T1,295.5,302.83,257.5,1788,203.5,211.5,461,447.5,235
Tatro_000536-T1,1714.33,1629.33,1744.58,15944.58,1439.5,1555.33,3469.17,3301.83,1373.67
Tatro_000537-T1,27,25,58.5,574,63,63.5,176,148.5,75
Tatro_000538-T1,1452.33,1007.92,1632.17,14325.25,1052,1081.33,3060.5,2832.33,1340
Tatro_000539-T1,139,138.5,124.33,929.75,144.5,149,200,172.5,87.33
Tatro_000540-T1,289,276.5,240.83,2120.17,229,217.08,429.5,398,199.5
Tatro_000541-T1,215,152.5,197,1618.83,138.5,151.5,303,238.5,156
Tatro_000542-T1,21.5,24.5,40.5,276,26.83,24.5,54,56,25.5
Tatro_000543-T1,351.5,339,156,3016.17,313,281,441.25,444.5,197.5
Tatro_000544-T1,59,48,3,636.5,49,57.5,262.33,249.5,107.5
Tatro_000545-T1,7,6,8,36.5,3,1,5,9,4.5
Tatro_000547-T1,1237.08,1313.83,1593.17,11542.87,1139.33,1162.5,2574,2251.5,1103.83
Tatro_000548-T1,344,332.7,272.75,4958.25,548.83,595,812.33,726.5,358.5
Tatro_000549-T1,1183.17,1154.33,1198.17,7667.04,1024.75,1098.83,1839.33,1509.67,820.08
Tatro_000550-T1,59,59.83,49,1618.33,180,189.5,337.5,300.5,161.83
Tatro_000551-T1,741.5,652.33,712.5,6666.83,764.5,795.17,1178,1029.5,550.33
Tatro_000552-T1,631,648.92,807.17,3604.33,542,620,938.08,855.5,464.5
Tatro_000553-T1,1929.5,1605.5,2389.75,19829.78,1523.5,1692,5542.25,5543.17,2858.5
Tatro_000554-T1,1,1,1.5,25,0,4,10,12,2
Tatro_000556-T1,3642,3875.71,4424.17,29783.4,3376.62,3890.67,5825,5519.42,2780.67
Tatro_000557-T1,1185.83,1303,1387.83,9456.42,1023,1123.33,1790.83,1671.5,802
Tatro_000558-T1,1245.67,1184.5,1267.83,8201.17,727.5,733,2810.83,2539.83,1254
Tatro_000559-T1,10,13.5,20.5,79.33,12.5,13.5,26.5,16.5,11.5
Tatro_000560-T1,62,58.5,46.33,446,57,56.5,116.5,107,58
Tatro_000561-T1,272.33,229.83,260.83,3907.42,243,288.5,853.5,817.17,359
Tatro_000562-T1,25.83,31.83,31.83,305,25,28.5,105,77.33,38
Tatro_000563-T1,930.25,768.5,852.87,8131,666.5,797.5,1816.08,1634.25,718.83
Tatro_000565-T1,671.67,592,734.08,4000,430.17,450.17,883.75,792.33,376
Tatro_000564-T1,57.67,73.17,91.33,533.5,52.67,49.17,103.92,111.33,60.5
Tatro_000566-T1,1212.33,1399.5,1792.33,4585.92,940.33,1014.33,1201.83,996.67,553
Tatro_000567-T1,889.5,952.67,925,7030.25,732.58,793.5,1594,1460.17,792.5
Tatro_000568-T1,1072,1034.5,1262,7161.33,740.25,812.5,1545.42,1398.33,680.38
Tatro_000569-T1,97.5,59.5,85,394.17,36.5,53,107,100,49.5
Tatro_000570-T1,1834.17,1479.33,1564.83,15117.78,1386.5,1485.33,2777,2495.33,1212
Tatro_000571-T1,207.5,287.5,329.33,1695.83,193.7,233,314,279.5,140.5
Tatro_000572-T1,1057.83,1201.67,1375,5991.33,834.33,824.75,1514,1301.67,730
Tatro_000573-T1,2862.5,2560.67,2983.5,21946.42,2099.03,2137.83,3661.5,3331.67,1530.75
Tatro_000574-T1,217,147.5,202.5,993.83,71,63,384,334.5,171.5
Tatro_000575-T1,582,557.83,615.5,6983.17,591.33,639.33,1235,1103.83,458.5
Tatro_000576-T1,378.5,404,453,4445.83,469,499.5,642.08,572.5,326
Tatro_000577-T1,36,53,73.5,798,75,96.5,134.5,124,57.5
Tatro_000578-T1,215.5,188.5,210.5,2776.92,241.5,303,492.5,452.5,197.5
Tatro_000579-T1,444.33,387,481.92,2783.33,314,294.33,799.5,662.25,348.5
Tatro_000580-T1,0,0,0,0,0,0,0,0,0
Tatro_000581-T1,420.83,499.83,507.5,4471.67,413,474,1247.25,1148,523.5
Tatro_000582-T1,587,809.83,675,4170.83,585,653,1174.83,1102,618
Tatro_000583-T1,1884.33,2173.25,2161.5,22241.67,2176.25,2431.17,4394.58,4130,1839
Tatro_000584-T1,0,0,0,0,0,0,0,0,0
Tatro_000585-T1,3,5.5,4,22.5,6,4,10,11,4
Tatro_000586-T1,30,23,28,183.5,18,19,38,29,17
Tatro_000587-T1,285,228.5,234.5,2854.17,319.5,349,432,364,176
Tatro_000588-T1,561.5,595.5,635,5664.17,634,636.33,3399.83,3033.83,1526.83
Tatro_000589-T1,131.5,144.5,153,1227.83,133.33,140,441.5,374.5,178
Tatro_000590-T1,773.17,738.5,900.33,9828.67,853.33,911.25,7893.25,7825.33,3743.83
Tatro_000591-T1,11132.04,12099.12,14774.53,82080.32,7698.74,8195.5,11228.83,11242.33,5971.92
Tatro_000592-T1,1893.5,2046.33,2090.42,15698.17,1615.33,1714.5,3197.17,2864.75,1498
Tatro_000593-T1,18,21,23,107,14,12,30.5,37.5,20
Tatro_000594-T1,5583.83,4585.2,7922.67,31410.87,4055.5,4293.83,10217.25,9665.67,5832.67
Tatro_000595-T1,99.5,98.5,165,2439,225.25,200.5,504.33,420.75,226.5
Tatro_000596-T1,1436.08,1287.17,1590.83,15485.92,1436,1593.33,2403.33,2300.33,1162.33
Tatro_000597-T1,0,1,1,1,0,0,5,1,0
Tatro_000598-T1,301.5,324,324,3466.71,250.5,260.83,637.33,511.5,253
Tatro_000599-T1,187.5,158.33,174.5,1206.5,124.33,110.5,308.5,278,130
Tatro_000600-T1,537,445,494.83,5325.37,414,474.83,894.83,899.83,346.5
Tatro_000601-T1,2,4,2,24,6,2.5,5,9.5,3.5
Tatro_000602-T1,1,1,2.5,15,2,1.5,4,4.5,3
Tatro_000604-T1,357,343.5,299.5,2626.08,230.5,285.5,634.67,559.83,262.5
Tatro_000605-T1,26.5,15,27,754,95.33,91,111,102,64
Tatro_000606-T1,0,0,1,12.5,3,4.5,6,3,1
Tatro_000607-T1,8,6,6,52,12,1,10.5,16,3
Tatro_000608-T1,1099.92,960.58,1049.5,8359.33,650,713.33,1598,1460,688.5
Tatro_000609-T1,1165.5,950.67,1001.5,17639.45,1858.17,1990,3728.25,3281.25,1586.58
Tatro_000610-T1,1123.33,1020.67,704.5,16004.87,1801,2047.17,2820.75,2346.33,1201.5
Tatro_000611-T1,299,348.25,311.83,3814,342,378.33,679,559,277.5
Tatro_000612-T1,64.5,76,73,1235.17,107,103,137.5,156.33,77
Tatro_000613-T1,2546.75,2149.37,2323,28210.25,2099.58,2328.25,5779,5072.67,2366.75
Tatro_000614-T1,323.5,293.5,275,5305,466.67,561.5,797.83,731,355
Tatro_000615-T1,13.5,11.5,18,229,27,35,55,37,21
Tatro_000616-T1,323,265.5,321,1909,162.5,191.83,386.5,308.5,156
Tatro_000617-T1,4,4,4,18,3,2,3,1,1
Tatro_000618-T1,0,2,1,11,0,0,5,0.5,1
Tatro_000619-T1,2438.17,2553,3061.33,20132.62,2191.33,2330.5,3946.17,3382.83,1881.83
Tatro_000620-T1,9,6,7.5,212,31.5,28.5,87,69.5,32.5
Tatro_000621-T1,40,29,36.5,1216.33,137,146,510,506,268.5
Tatro_000622-T1,10,15,12,355.83,49.83,58.5,117.25,112.5,54
Tatro_000623-T1,815.5,794,557,8583.08,886.25,1094,1521.5,1319.83,782
Tatro_000624-T1,16,11,6,73.5,10.5,6,15.5,11,11.5
Tatro_000625-T1,3,3,4,13,5,0,5,6,6
Tatro_000626-T1,3417.83,3400,2494.08,38845.32,3578.83,3804.67,7251.75,6779.42,3324.92
Tatro_000627-T1,1036.83,1291.08,1770.5,8611.17,1109.33,1270.33,2169.08,2195.25,1159
Tatro_000628-T1,428.5,445,411,3319.75,393,380.5,858.5,780.5,371
Tatro_000629-T1,59,76,72.75,759.67,105.25,99,713.75,781.17,382
Tatro_000631-T1,526,465.5,550.5,4348.83,434.5,415.5,678.25,582,290
Tatro_000633-T1,860,759.5,766.5,8202.75,649,670,1224.83,1094.33,516.83
Tatro_000634-T1,454.83,431,511.67,2692.83,358,327.17,709.83,598.5,292.7
Tatro_000635-T1,0,2,2,16,0,1,13,10.5,11
Tatro_000636-T1,203.5,131,170.5,1379.58,84.5,101,148.5,155,73.5
Tatro_000637-T1,324.83,309.83,290.03,2212.75,213.5,185,407.83,376.5,162
Tatro_000638-T1,1165.83,1033.83,1357.58,11961.12,955.28,1050.58,2142.5,2160.58,1113.08
Tatro_000640-T1,234.66,226.75,340.75,2407.29,236.11,250.5,374,369.16,206.58
Tatro_000640-T2,234.66,226.75,340.75,2407.29,236.11,250.5,374,369.16,206.58
Tatro_000639-T1,15.58,5.33,15.58,120,13.33,11.25,21.67,21.25,10
Tatro_000641-T1,3,9.5,4.83,115.5,6.5,9.5,12.5,10.67,4
Tatro_000641-T2,3,9.5,4.83,115.5,6.5,9.5,12.5,10.67,4
Tatro_000642-T1,1705.25,1398.58,643.75,45639.08,3885.08,4725.58,4973,4691.08,2251
Tatro_000643-T1,272,296.33,240.83,1531.58,218,246,350.5,333.5,200.5
Tatro_000644-T1,538.33,440.25,458,4935.33,418.67,452,872,802,339
Tatro_000645-T1,1,0,2,4,2,0,1,2,1
Tatro_000646-T1,7080.08,5353,6395.08,78793.03,4851.33,4879.5,11340.5,10636.33,4492.33
Tatro_000647-T1,116,116,115.5,856.5,95.5,125.5,189,187.5,99
Tatro_000648-T1,199.5,282.83,321.08,1622.25,242.5,244.5,365.5,351,189.5
Tatro_000649-T1,129.33,168.83,239.83,1549.93,159.5,199.5,272.5,278,129
Tatro_000650-T1,1038,1079.17,1194.58,11080.58,907,990.5,1549.83,1422.5,638
Tatro_000651-T1,742.5,548.5,815,7897.62,627.5,664,1499.5,1312,612
Tatro_000652-T1,12121.5,12214.25,15782,59063.14,7243.17,7411.92,31287.75,26228.17,12866
Tatro_000653-T1,692,674.67,732.83,6627.33,664.5,692,1058,987.5,450.33
Tatro_000654-T1,2,1,4,147.5,6.33,16,19,18,3
